address_id,line1,city,province_name,postal_code,country_code
1,Sucursal Buenos Aires - Av. Principal 101,Buenos Aires,Buenos Aires,1001,AR
2,Sucursal Córdoba - Av. Principal 102,Córdoba,Córdoba,1002,AR
3,Sucursal Santa Fe - Av. Principal 103,Santa Fe,Santa Fe,1003,AR
4,Sucursal Mendoza - Av. Principal 104,Mendoza,Mendoza,1004,AR
1001,Calle 5545,Córdoba,Córdoba,4934,AR
1002,Calle 2808,Rafaela,Santa Fe,2071,AR
1003,Calle 3108,CABA,Buenos Aires,7131,AR
1004,Calle 4007,Río Cuarto,Córdoba,9773,AR
1005,Calle 4050,Santa Fe,Santa Fe,3071,AR
1006,Calle 3429,Godoy Cruz,Mendoza,2062,AR
1007,Calle 8343,Mar del Plata,Buenos Aires,3932,AR
1008,Calle 7919,Río Cuarto,Córdoba,5396,AR
1009,Calle 600,Río Cuarto,Córdoba,8406,AR
1010,Calle 6964,La Plata,Buenos Aires,7129,AR
1011,Calle 1377,Córdoba,Córdoba,4771,AR
1012,Calle 5512,Mar del Plata,Buenos Aires,8086,AR
1013,Calle 5195,La Plata,Buenos Aires,3942,AR
1014,Calle 1244,Mar del Plata,Buenos Aires,9220,AR
1015,Calle 4529,CABA,Buenos Aires,2168,AR
1016,Calle 5469,CABA,Buenos Aires,5096,AR
1017,Calle 4497,Río Cuarto,Córdoba,9898,AR
1018,Calle 4618,La Plata,Buenos Aires,1194,AR
1019,Calle 6513,Córdoba,Córdoba,8773,AR
1020,Calle 7680,Mar del Plata,Buenos Aires,2406,AR
1021,Calle 6844,Santa Fe,Santa Fe,1493,AR
1022,Calle 5007,CABA,Buenos Aires,6810,AR
1023,Calle 6609,La Plata,Buenos Aires,6342,AR
1024,Calle 2280,Córdoba,Córdoba,7247,AR
1025,Calle 8758,Mendoza,Mendoza,2779,AR
1026,Calle 4992,Villa Carlos Paz,Córdoba,3910,AR
1027,Calle 8006,Rafaela,Santa Fe,2138,AR
1028,Calle 4770,CABA,Buenos Aires,8449,AR
1029,Calle 2816,CABA,Buenos Aires,3572,AR
1030,Calle 7836,La Plata,Buenos Aires,4382,AR
1031,Calle 7082,Santa Fe,Santa Fe,3601,AR
1032,Calle 7520,Río Cuarto,Córdoba,3337,AR
1033,Calle 9910,La Plata,Buenos Aires,9043,AR
1034,Calle 1493,CABA,Buenos Aires,6681,AR
1035,Calle 6801,CABA,Buenos Aires,8501,AR
1036,Calle 9317,Mendoza,Mendoza,4927,AR
1037,Calle 8811,Mar del Plata,Buenos Aires,4559,AR
1038,Calle 1987,Mar del Plata,Buenos Aires,9264,AR
1039,Calle 4142,CABA,Buenos Aires,8572,AR
1040,Calle 7568,Mar del Plata,Buenos Aires,4185,AR
1041,Calle 1879,La Plata,Buenos Aires,8606,AR
1042,Calle 8986,CABA,Buenos Aires,3297,AR
1043,Calle 2795,Rosario,Santa Fe,3903,AR
1044,Calle 6404,Mar del Plata,Buenos Aires,5476,AR
1045,Calle 3550,CABA,Buenos Aires,8242,AR
1046,Calle 1685,Rafaela,Santa Fe,8274,AR
1047,Calle 6184,Córdoba,Córdoba,4908,AR
1048,Calle 458,La Plata,Buenos Aires,2035,AR
1049,Calle 2751,Mendoza,Mendoza,7810,AR
1050,Calle 5287,La Plata,Buenos Aires,4393,AR
1051,Calle 1980,La Plata,Buenos Aires,6842,AR
1052,Calle 5182,La Plata,Buenos Aires,8516,AR
1053,Calle 6046,La Plata,Buenos Aires,7735,AR
1054,Calle 1669,Santa Fe,Santa Fe,5127,AR
1055,Calle 6367,Río Cuarto,Córdoba,6440,AR
1056,Calle 5210,Río Cuarto,Córdoba,6490,AR
1057,Calle 7355,Río Cuarto,Córdoba,9248,AR
1058,Calle 2033,Mar del Plata,Buenos Aires,4990,AR
1059,Calle 8172,La Plata,Buenos Aires,7156,AR
1060,Calle 9799,Córdoba,Córdoba,3199,AR
