shipment_id,order_id,customer_key,time_key,carrier,shipped_at,delivered_at
9000000000,1000000000,356,332.0,Correo Argentino,2024-11-27 07:50:47,2024-11-30 07:50:47
9000000001,1000000001,601,32.0,Correo Argentino,2024-02-01 01:00:04,2024-02-05 01:00:04
9000000002,1000000002,1234,424.0,Correo Argentino,2025-02-27 19:39:44,2025-03-01 19:39:44
9000000003,1000000003,156,427.0,Correo Argentino,2025-03-02 17:35:36,2025-03-06 17:35:36
9000000004,1000000004,616,90.0,PICKUP,2024-03-30 02:46:36,2024-03-31 02:46:36
9000000005,1000000005,614,72.0,PICKUP,2024-03-12 20:54:35,2024-03-13 20:54:35
9000000006,1000000006,188,563.0,Correo Argentino,2025-07-16 22:55:56,2025-07-20 22:55:56
9000000007,1000000007,17,317.0,Correo Argentino,2024-11-12 20:15:00,2024-11-15 20:15:00
9000000008,1000000008,1148,239.0,Correo Argentino,2024-08-26 03:29:28,2024-08-28 03:29:28
9000000009,1000000009,1037,91.0,Correo Argentino,2024-03-31 10:34:46,2024-04-03 10:34:46
9000000010,1000000010,1336,73.0,PICKUP,2024-03-13 02:19:39,2024-03-14 02:19:39
9000000011,1000000011,1239,534.0,PICKUP,2025-06-17 03:46:29,2025-06-18 03:46:29
9000000012,1000000012,1426,222.0,PICKUP,2024-08-09 14:38:29,2024-08-10 14:38:29
9000000013,1000000013,862,448.0,PICKUP,2025-03-23 11:26:14,2025-03-24 11:26:14
9000000014,1000000014,181,597.0,Correo Argentino,2025-08-19 12:46:12,2025-08-24 12:46:12
9000000015,1000000015,700,,Correo Argentino,,
9000000016,1000000016,475,606.0,Correo Argentino,2025-08-28 22:46:32,2025-09-02 22:46:32
9000000017,1000000017,753,416.0,PICKUP,2025-02-19 14:36:04,2025-02-20 14:36:04
9000000018,1000000018,1151,,Correo Argentino,,
9000000019,1000000019,793,478.0,Correo Argentino,2025-04-22 04:12:18,2025-04-26 04:12:18
9000000020,1000000020,866,128.0,Correo Argentino,2024-05-07 01:36:24,2024-05-11 01:36:24
